Halt Date	Halt Time	Symbol	Reason Code	Resumption Quote Time	Resumption Trade Time
02/06/2026	08:25:00	STKL	SunOpta, Inc	NASDAQ	T3
02/06/2026	09:30:15	BTFL	Defiance Daily Target 2X Long BITF ETF	Non NASDAQ	M
02/06/2026	09:30:15	XRP	Bitwise XRP ETF	NYSE Arca	M
02/06/2026	09:30:15	XRPK	T-REX 2X Long XRP Daily Target ETF	Non NASDAQ	M
02/06/2026	09:30:31	MSTK	Tuttle Capital MSTR 0DTE Covered Call ETF	Non NASDAQ	M
02/06/2026	09:30:39	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	09:31:45	LBTYB	Liberty Global Ltd Cl B Cmn Sh	NASDAQ	LUDP
02/06/2026	09:31:57	NWL	Newell Brands Inc Cmn	NASDAQ	LUDP
02/06/2026	09:32:18	RDIB	Reading Intl Cl B Cmn	NASDAQ	LUDP
02/06/2026	09:33:35	MSST	YieldMax MSTR Performance & Distribution Target 25 ETF	Non NASDAQ	M
02/06/2026	09:34:01	KELYB	Kelly Services Inc Cl B	NASDAQ	LUDP
02/06/2026	09:34:55	ONEG	OneConstruction Group Ltd Shs	NASDAQ	LUDP
02/06/2026	09:35:41	QXAS	Quantify 2X Daily Alt Season Crypto ETF	NYSE Arca	M
02/06/2026	09:37:05	LBTYB	Liberty Global Ltd Cl B Cmn Sh	NASDAQ	LUDP
02/06/2026	09:40:03	MB	MasterBeef Grp Ord	NASDAQ	LUDP
02/06/2026	09:41:19	SMX	SMX Sc Mtr PLC Ord	NASDAQ	LUDP
02/06/2026	09:42:23	LBTYB	Liberty Global Ltd Cl B Cmn Sh	NASDAQ	LUDP
02/06/2026	09:42:27	LUD	Luda Technology Group Limited Ordinary Shares	AMEX	M
02/06/2026	09:43:27	RDIB	Reading Intl Cl B Cmn	NASDAQ	LUDP
02/06/2026	09:45:52	WHLRP	Wheeler REIT Cl B Prfd Stk	NASDAQ	LUDP
02/06/2026	09:46:18	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	09:46:20	KELYB	Kelly Services Inc Cl B	NASDAQ	LUDP
02/06/2026	09:47:17	ONEG	OneConstruction Group Ltd Shs	NASDAQ	LUDP
02/06/2026	09:49:28	LBTYB	Liberty Global Ltd Cl B Cmn Sh	NASDAQ	LUDP
02/06/2026	09:51:36	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	09:52:57	LUD	Luda Technology Group Limited Ordinary Shares	AMEX	M
02/06/2026	10:01:38	SENEB	Seneca Foods Corp	NASDAQ	LUDP
02/06/2026	10:03:52	MB	MasterBeef Grp Ord	NASDAQ	LUDP
02/06/2026	10:04:58	FLYE	Fly-E Group, Inc. Common Stock	NASDAQ	LUDP
02/06/2026	10:08:40	KELYB	Kelly Services Inc Cl B	NASDAQ	LUDP
02/06/2026	10:09:49	PLYX	Polaryx Therapeutics, Inc. CS	NASDAQ	LUDP
02/06/2026	10:17:08	SMX	SMX Sc Mtr PLC Ord	NASDAQ	LUDP
02/06/2026	10:20:33	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	10:31:37	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	10:42:45	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	10:45:18	SMX	SMX Sc Mtr PLC Ord	NASDAQ	LUDP
02/06/2026	10:47:14	CWII	REX CRWV Growth & Income ETF	Non NASDAQ	M
02/06/2026	10:54:58	PHOE	Phoenix Asia Holdings Limited	NASDAQ	LUDP
02/06/2026	11:14:43	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	11:25:03	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	11:45:15	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	11:51:28	MI	NFT Limited Class A Ordinary Share	AMEX	M
02/06/2026	11:55:42	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	12:06:06	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	12:13:50	BUUU	BUUU Group Limited Cl A Ord Sh	NASDAQ	LUDP
02/06/2026	13:15:32	LASE	Laser Photonics Corp Cmn	NASDAQ	LUDP
02/06/2026	13:20:19	MGRT	Mega Fortune Co Ltd Ord	NASDAQ	LUDP
02/06/2026	13:36:49	SGP	SpyGlass Pharma Cmn	NASDAQ	LUDP
02/06/2026	13:43:21	ZBAI	ATIF Holdings Ltd Ord Shs	NASDAQ	LUDP
02/06/2026	14:04:51	LBTYB	Liberty Global Ltd Cl B Cmn Sh	NASDAQ	LUDP
02/06/2026	14:41:26	DDC	DDC Enterprise Limited	AMEX	T1
02/06/2026	14:43:35	PW-A		AMEX	M
